name,POS,Team,Games,Min,FG%,FGM,FGA,FT%,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
Nikola Jokic,"PF,C",DEN,77,35.1,0.565,10.6,18.8,0.865,5.0,5.8,1.3,27.6,11.0,8.3,1.3,0.7,3.1
James Harden,"PG,SG",BRO,75,35.5,0.469,7.6,16.2,0.869,5.9,6.8,2.7,23.8,8.0,10.5,1.2,0.8,3.9
Stephen Curry,"PG,SG",GSW,73,34.0,0.476,10.0,21.1,0.916,5.6,6.1,5.0,30.7,5.5,5.8,1.2,0.1,3.4
Kevin Durant,"SF,PF",BRO,68,33.1,0.529,9.0,17.0,0.882,6.0,6.8,2.3,26.3,7.1,5.0,0.7,1.3,3.4
Damian Lillard,PG,POR,76,34.8,0.452,8.8,19.3,0.930,6.5,7.0,4.0,27.9,4.1,7.3,0.9,0.3,2.9
Karl-Anthony Towns,C,MIN,72,33.9,0.486,8.5,17.6,0.855,5.3,6.2,2.4,24.8,10.6,4.5,0.8,1.3,3.2
Bradley Beal,"SG,SF",WAS,73,34.6,0.467,11.3,24.1,0.878,6.8,7.8,2.6,32.0,4.7,5.8,1.2,0.4,3.1
Joel Embiid,"PF,C",PHI,65,30.4,0.498,8.4,16.9,0.822,8.3,10.0,1.1,26.2,10.1,2.7,1.0,1.3,3.0
Jayson Tatum,"SF,PF",BOS,76,35.1,0.467,9.7,20.7,0.864,4.8,5.5,3.0,27.1,7.4,4.3,1.2,0.5,2.7
Giannis Antetokounmpo,"PF,C",MIL,74,33.0,0.572,10.3,18.0,0.684,6.5,9.5,1.1,28.0,11.0,5.9,1.2,1.2,3.4
Paul George,"SF,PF",LAC,74,34.0,0.461,8.9,19.2,0.882,3.8,4.3,3.5,25.1,6.8,5.4,1.1,0.4,3.4
Luka Doncic,"PG,SG",DAL,75,34.1,0.478,10.0,20.9,0.742,5.3,7.2,3.0,28.3,8.2,8.8,1.0,0.5,4.4
Anthony Davis,"PF,C",LAL,69,32.6,0.499,9.0,18.0,0.771,4.2,5.5,0.9,23.1,8.8,2.0,1.3,2.0,2.0
Kyrie Irving,"PG,SG",BRO,65,34.1,0.492,9.2,18.7,0.903,2.6,2.9,2.7,23.8,3.9,5.4,1.3,0.5,2.6
Trae Young,PG,ATL,78,33.2,0.441,7.9,17.8,0.889,6.6,7.4,2.4,24.7,3.8,9.5,0.8,0.2,4.0
Fred VanVleet,"PG,SG",TOR,70,34.8,0.402,6.8,16.9,0.892,3.1,3.5,3.4,20.2,4.0,6.0,1.6,0.7,1.7
Bam Adebayo,"PF,C",MIA,76,33.6,0.568,7.1,12.5,0.799,4.4,5.5,0.0,18.7,8.9,4.1,1.2,1.0,2.6
Domantas Sabonis,"PF,C",IND,72,35.3,0.534,7.6,14.3,0.736,3.8,5.2,0.8,19.9,11.6,6.4,1.2,0.5,3.3
Jimmy Butler,"SF,PF",MIA,72,32.8,0.492,6.7,13.7,0.864,6.6,7.6,0.5,20.5,5.4,4.3,1.7,0.3,2.0
Shai Gilgeous-Alexander,"PG,SG",OKL,70,34.1,0.510,8.3,16.3,0.815,5.4,6.6,2.0,24.0,4.9,6.0,0.8,0.7,3.0
Nikola Vucevic,C,CHI,76,32.8,0.472,8.4,17.8,0.860,1.9,2.2,2.0,20.7,11.1,2.9,0.9,0.8,1.8
LeBron James,"PG,SG,SF",LAL,74,32.4,0.514,9.1,17.7,0.702,3.9,5.5,2.2,24.3,7.4,7.3,1.1,0.6,3.6
Chris Paul,PG,PHX,72,30.4,0.486,6.0,12.4,0.922,2.4,2.6,1.5,15.9,4.4,8.6,1.3,0.3,2.2
Zach LaVine,"SG,SF",CHI,72,34.0,0.491,9.3,19.0,0.843,4.0,4.8,3.3,26.0,4.6,4.1,0.8,0.5,3.3
LaMelo Ball,"PG,SG",CHA,73,32.8,0.445,6.9,15.4,0.774,2.9,3.7,2.1,18.6,6.7,7.0,1.8,0.5,3.2
Zion Williamson,PF,NOP,72,33.8,0.613,11.0,17.9,0.701,6.4,9.1,0.2,28.6,7.6,4.3,1.0,0.7,2.8
Michael Porter Jr.,"SF,PF",DEN,67,32.5,0.516,7.9,15.3,0.816,2.0,2.4,3.0,20.8,7.9,1.2,0.7,0.9,1.4
Jrue Holiday,"PG,SG",MIL,72,32.1,0.500,6.9,13.9,0.781,1.8,2.3,1.9,17.5,4.5,6.0,1.6,0.6,2.2
Jaren Jackson Jr.,"PF,C",MEM,70,31.4,0.468,5.9,12.7,0.811,4.0,4.9,2.0,17.8,6.9,1.4,1.1,1.8,1.9
Rudy Gobert,C,UTA,76,30.9,0.671,5.5,8.2,0.622,3.3,5.3,0.0,14.4,13.5,1.3,0.6,2.7,1.7
Richaun Holmes,"PF,C",SAC,72,31.2,0.637,6.3,10.0,0.785,2.3,3.0,0.0,15.0,8.8,1.8,0.6,1.7,1.3
Tobias Harris,"SF,PF",PHI,75,32.5,0.510,7.6,14.9,0.878,2.9,3.3,1.3,19.4,6.8,3.5,0.9,0.8,1.7
Donovan Mitchell,"PG,SG",UTA,72,33.4,0.441,9.1,20.7,0.834,5.0,6.0,3.4,26.6,4.4,5.5,1.0,0.3,2.8
